Id,SalePrice
1461,122302.06050145892
1462,147410.76150173077
1463,185722.36552986802
1464,180985.69026873005
1465,180623.23008215602
1466,185453.1376874823
1467,183445.09326104337
1468,177152.04532522976
1469,178884.079730025
1470,127560.75163471726
1471,202218.70826642198
1472,90788.79644826344
1473,95768.03537719257
1474,146210.96747414625
1475,110615.52291546902
1476,313290.61842125945
1477,237900.61164054947
1478,291255.86502128904
1479,316343.3554624669
1480,452593.3326943603
1481,280037.04646113544
1482,200691.8031104934
1483,189707.56501166752
1484,165246.90062681382
1485,176135.63442788014
1486,205182.9037932629
1487,273928.9963277432
1488,217264.43357619594
1489,201601.18331598138
1490,258123.4781751333
1491,189142.95369581107
1492,92688.08448612405
1493,177869.69973626343
1494,276758.483740357
1495,232326.43713865388
1496,246083.2151600089
1497,174384.7854712602
1498,155708.6236513169
1499,153533.86928361695
1500,159870.1222380771
1501,173751.2061077826
1502,151581.8824184832
1503,249841.3216363141
1504,227100.3266805952
1505,214885.2771268156
1506,156530.52920375936
1507,271150.19008969434
1508,173998.13830417383
1509,153073.36887073723
1510,143756.12548377924
1511,137610.44945893442
1512,155407.19759246285
1513,135884.8470769939
1514,148216.9584992923
1515,209937.21235239552
1516,145486.17247646264
1517,163745.82499065777
1518,120118.85213208038
1519,234920.5316276164
1520,133867.51336566027
1521,136846.49051182147
1522,164666.67492209037
1523,119665.63818760225
1524,128827.61844481106
1525,126952.26857873802
1526,132798.69217278683
1527,109600.05953513904
1528,125241.82504720839
1529,139566.94404546707
1530,166618.38626535152
1531,135798.65657868114
1532,106989.75785267966
1533,129992.46538507684
1534,113180.95730808648
1535,148786.94180652208
1536,117174.31390147223
1537,95516.81413856923
1538,124906.07125531402
1539,181836.53733705636
1540,105280.9267984142
1541,129291.20428153811
1542,126826.95484349834
1543,180681.99008544092
1544,88069.7915616647
1545,100831.45682813466
1546,117822.38296430671
1547,128620.30578462697
1548,128563.36849295005
1549,107331.17656137326
1550,138715.24606946303
1551,120522.58928016452
1552,160048.41518443046
1553,129083.16224830133
1554,106177.81443708848
1555,186026.7922648258
1556,90732.20870805226
1557,109616.89554321514
1558,76638.1544746422
1559,97395.80729079604
1560,151109.19047439934
1561,138557.09774420553
1562,122478.85226200057
1563,124443.5499249662
1564,153907.032235345
1565,167766.8344072784
1566,208590.9693265788
1567,80897.94170060391
1568,204768.65464287452
1569,132905.91700435177
1570,145648.98834908524
1571,138500.9597678447
1572,130911.81758304071
1573,241521.13326867807
1574,93536.06067998921
1575,224544.75764507125
1576,228475.73900316833
1577,200818.64579546836
1578,127345.08728022028
1579,144807.90958643952
1580,179485.78924105415
1581,150562.81007748237
1582,123522.94857404639
1583,312348.0789321416
1584,246506.97037211407
